legacy_path,current_destination,classification
/destin-live-beach-cam-574002656,/beach-cam,OwnerRez-numbered
/webcam-574002656,/beach-cam,OwnerRez-numbered
/aboutus-574000712,/about,OwnerRez-numbered
/about-me-574000712,/about,OwnerRez-numbered
/aboutme-574000712,/about,OwnerRez-numbered
/privacy-574035022,/privacy,OwnerRez-numbered
/properties,/destin-vacation-rentals-by-owner,legacy
/pelican-,/destin-vacation-rentals-by-owner,legacy
/pelican-beach-resort-destin-574048693,/pelican-beach-resort-destin,OwnerRez-numbered
/-pelican-beach-resort-condo-rental-574046950,/why-book-direct,OwnerRez-numbered
/pelican-beach-resort-unit-707-orp5b47b5ax,/pelican-beach-resort-unit-707,OwnerRez-property
/pelican-beach-resort-unit-1006-orp5b6450ex,/pelican-beach-resort-unit-1006,OwnerRez-property
/destin-vacation-itinerary-planner-574049367,/destin-vacation-itinerary-planner,OwnerRez-numbered
/ai-concierge-574036277,/destin-ai-concierge,OwnerRez-numbered
/concierge,/destin-ai-concierge,legacy
/virtualtour-574001044,/pelican-beach-resort-condo-virtual-tours,OwnerRez-numbered
/destin-condo-guide-574047967,/destin-condo-rental-faq,OwnerRez-numbered
/pricing-dashboard-574049826,/destin-condo-deals,OwnerRez-numbered
/beach-deals,/destin-condo-deals,legacy
/rate-finder.html,/destin-condo-deals,legacy-tool
/destin-hub.html,/destin-hub,legacy-tool
/destin-car-rental.html,/destin-car-rentals,legacy-tool
/destin-tripshock.html,/destin-activities,legacy-tool
/snowbird.html,/destin-snowbird-rentals,legacy-tool
/condos/unit-707,/pelican-beach-resort-unit-707,interim
/condos/unit-1006,/pelican-beach-resort-unit-1006,interim
/resort,/pelican-beach-resort-destin,interim
/gallery,/destin-condo-photo-gallery,interim
/virtual-tours,/pelican-beach-resort-condo-virtual-tours,interim
/reviews,/destin-condo-rental-reviews,interim
/deals,/destin-condo-deals,interim
/snowbird,/destin-snowbird-rentals,interim
/offer,/destin-condo-special-offers,interim
/activities,/destin-activities,interim
/car-rentals,/destin-car-rentals,interim
/trip-planner,/destin-vacation-itinerary-planner,interim
/faq,/destin-condo-rental-faq,interim
/blog/rss,/blog,legacy
/blog/why-we-built-an-ai-concierge-for-destin-vacation-rentals,/destin-ai-concierge,retired-content
/blog/destin-condo-ai-concierge-direct-booking,/why-book-direct,retired-content
/blog/destin-vacation-rental-ai-concierge,/destin-ai-concierge,retired-content
/blog/destinitalian,/blog/best-restaurants-destin-local-guide,merged-content
/blog/destinsushi,/blog/best-restaurants-destin-local-guide,merged-content
/blog/destindelights,/blog/best-restaurants-destin-local-guide,merged-content
