route,category,status,evidence
/,core,canonical-public,sitemap
/availability,booking-discovery,canonical-public,sitemap
/destin-vacation-rentals-by-owner,commercial,canonical-public,sitemap
/pelican-beach-resort-destin,resort,canonical-public,sitemap
/pelican-beach-resort-unit-707,unit,canonical-public,sitemap
/pelican-beach-resort-unit-1006,unit,canonical-public,sitemap
/destin-condo-rental-reviews,trust,canonical-public,sitemap
/destin-condo-photo-gallery,media,canonical-public,sitemap
/pelican-beach-resort-condo-virtual-tours,media,canonical-public,sitemap
/destin-vacation-itinerary-planner,planner,canonical-public,sitemap
/destin-ai-concierge,concierge,canonical-public,sitemap
/guest-guide,guest-information,canonical-public,sitemap
/destin-condo-rental-faq,faq,canonical-public,sitemap
/map,location,canonical-public,sitemap
/about,trust,canonical-public,sitemap
/privacy,legal,canonical-public,sitemap
/why-book-direct,commercial,canonical-public,sitemap
/beach-cam,media,canonical-public,sitemap
/blog,blog-index,canonical-public,sitemap
/destin-hub,planning,canonical-public,sitemap
/destin-condo-deals,commercial,canonical-public,sitemap
/destin-snowbird-rentals,commercial,canonical-public,sitemap
/destin-condo-special-offers,commercial,canonical-public,sitemap
/destin-car-rentals,affiliate-planning,canonical-public,sitemap
/destin-activities,affiliate-planning,canonical-public,sitemap
/blog/best-beaches-destin,blog,canonical-public,sitemap
/blog/best-restaurants-destin,blog,canonical-public,sitemap
/blog/best-restaurants-destin-local-guide,blog,canonical-public,sitemap
/blog/best-time-to-visit-destin-florida,blog,canonical-public,sitemap
/blog/destin-events-2026,blog,canonical-public,sitemap
/blog/destin-fireworks-2026,blog,canonical-public,sitemap
/blog/destin-florida-vacation-guide-2026,blog,canonical-public,sitemap
/blog/destin-live-music-2026,blog,canonical-public,sitemap
/blog/destinairport,blog,canonical-public,sitemap
/blog/destincar,blog,canonical-public,sitemap
/blog/destindiversehistory,blog,canonical-public,sitemap
/blog/destinessentials,blog,canonical-public,sitemap
/blog/destinexplore,blog,canonical-public,sitemap
/blog/destinkids,blog,canonical-public,sitemap
/blog/destinnights,blog,canonical-public,sitemap
/blog/destinocen,blog,canonical-public,sitemap
/blog/destinromance,blog,canonical-public,sitemap
/blog/destinspa,blog,canonical-public,sitemap
/blog/destinsupermarkets,blog,canonical-public,sitemap
/blog/destinweather,blog,canonical-public,sitemap
/blog/how-to-find-cheaper-flights-and-car-rentals,blog,canonical-public,sitemap
